0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.rights license,dc.rights RightsStatement,terms of use,dc.rights copyright holder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box
17,dataset-metadata-bibliographic metadata,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,nix,nix,nix,not applicable,not applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
18,dataset-metadata-entity metadata,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
19,dataset-metadata-project metadata,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
21,Dataset-timetable,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
22,Dataset-vocabulary mapping,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
23,software-DBMS,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,required,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
24,software-DBMS-repository,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,required,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
25,concept-subject term,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
34,Workflow,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
39,Tool-Research Tool,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
41,conference object,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
